,section_name,row_name,seat,Last Seat,# of Seats,POD Size,Level,Description,Notes,concat,baseline_price
0,1,10,1,2,2,2,Lower Level,2 Seat Lower Level - No F&B,No F&B at Seats,1_10_1,274.4421704
1,1,10,5,6,2,2,Lower Level,2 Seat Lower Level - No F&B,No F&B at Seats,1_10_5,276.3924711
2,1,10,9,11,3,3,Lower Level,3 Seat Lower Level - No F&B,No F&B at Seats,1_10_9,278.1513471
3,1,10,14,17,4,4,Lower Level,4 Seat Lower Level - No F&B,No F&B at Seats,1_10_14,280.0282541
4,1,12,1,2,2,2,Lower Level,2 Seat Lower Level - No F&B,No F&B at Seats,1_12_1,276.9521525
5,1,12,5,6,2,2,Lower Level,2 Seat Lower Level - No F&B,No F&B at Seats,1_12_5,276.8997897
6,1,12,9,10,2,2,Lower Level,2 Seat Lower Level - No F&B,No F&B at Seats,1_12_9,277.3637588
7,1,12,13,14,2,2,Lower Level,2 Seat Lower Level - No F&B,No F&B at Seats,1_12_13,278.0942631
8,1,12,17,18,2,2,Lower Level,2 Seat Lower Level - No F&B,No F&B at Seats,1_12_17,278.9410816
9,1,14,1,2,2,2,Lower Level,2 Seat Lower Level - No F&B,No F&B at Seats,1_14_1,280.74717
10,1,14,5,6,2,2,Lower Level,2 Seat Lower Level - No F&B,No F&B at Seats,1_14_5,278.729055
11,1,14,9,10,2,2,Lower Level,2 Seat Lower Level - No F&B,No F&B at Seats,1_14_9,277.5929534
12,1,14,13,14,2,2,Lower Level,2 Seat Lower Level - No F&B,No F&B at Seats,1_14_13,276.9534401
13,1,14,17,19,3,3,Lower Level,3 Seat Lower Level - No F&B,No F&B at Seats,1_14_17,276.5306746
14,1,16,1,2,2,2,Lower Level,2 Seat Lower Level,,1_16_1,281.2952629
15,1,16,5,6,2,2,Lower Level,2 Seat Lower Level,,1_16_5,277.727294
16,1,16,9,10,2,2,Lower Level,2 Seat Lower Level,,1_16_9,275.0490641
17,1,16,13,14,2,2,Lower Level,2 Seat Lower Level,,1_16_13,272.889312
18,1,16,17,20,4,4,Lower Level,4 Seat Lower Level,,1_16_17,270.9128299
19,1,18,1,2,2,2,Lower Level,2 Seat Lower Level,,1_18_1,274.6164271
20,1,18,5,6,2,2,Lower Level,2 Seat Lower Level,,1_18_5,270.1677326
21,1,18,9,10,2,2,Lower Level,2 Seat Lower Level,,1_18_9,266.6375336
22,1,18,13,14,2,2,Lower Level,2 Seat Lower Level,,1_18_13,263.7558612
23,1,18,17,18,2,2,Lower Level,2 Seat Lower Level,,1_18_17,261.2999588
24,1,18,21,23,3,3,Lower Level,3 Seat Lower Level,,1_18_21,259.010158
25,1,20,1,2,2,2,Lower Level,2 Seat Lower Level,,1_20_1,257.9701979
26,1,20,5,6,2,2,Lower Level,2 Seat Lower Level,,1_20_5,253.0013087
27,1,20,9,10,2,2,Lower Level,2 Seat Lower Level,,1_20_9,248.7710789
28,1,20,13,14,2,2,Lower Level,2 Seat Lower Level,,1_20_13,244.966619
29,1,20,17,18,2,2,Lower Level,2 Seat Lower Level,,1_20_17,241.4660351
30,1,20,21,23,3,3,Lower Level,3 Seat Lower Level,,1_20_21,238.0551547
31,3,12,1,2,2,2,Lower Level,2 Seat Lower Level,,3_12_1,285.0911388
32,3,12,5,6,2,2,Lower Level,2 Seat Lower Level,,3_12_5,290.1557404
33,3,12,9,10,2,2,Lower Level,2 Seat Lower Level,,3_12_9,296.2740364
34,3,12,13,16,4,4,Lower Level,4 Seat Lower Level,,3_12_13,303.6116997
35,3,14,1,2,2,2,Lower Level,2 Seat Lower Level,,3_14_1,281.1750859
36,3,14,5,6,2,2,Lower Level,2 Seat Lower Level,,3_14_5,286.4195236
37,3,14,9,11,3,3,Lower Level,3 Seat Lower Level,,3_14_9,291.7150366
38,3,14,14,17,4,4,Lower Level,4 Seat Lower Level,,3_14_14,299.1999169
39,3,16,1,2,2,2,Lower Level,2 Seat Lower Level,,3_16_1,273.3451261
40,3,16,5,6,2,2,Lower Level,2 Seat Lower Level,,3_16_5,280.2179621
41,3,16,9,10,2,2,Lower Level,2 Seat Lower Level,,3_16_9,285.9770148
42,3,16,13,14,2,2,Lower Level,2 Seat Lower Level,,3_16_13,291.2944172
43,3,16,17,19,3,3,Lower Level,3 Seat Lower Level,,3_16_17,296.709678
44,3,18,1,2,2,2,Lower Level,2 Seat Lower Level,,3_18_1,256.8199324
45,3,18,5,6,2,2,Lower Level,2 Seat Lower Level,,3_18_5,266.3993258
46,3,18,13,14,2,2,Lower Level,2 Seat Lower Level,,3_18_13,280.3527321
47,3,18,21,24,4,4,Lower Level,4 Seat Lower Level,,3_18_21,290.8390322
48,4,10,1,2,2,2,Lower Level,2 Seat Lower Level - No F&B,No F&B at Seats,4_10_1,329.6446098
49,4,10,5,7,3,3,Lower Level,3 Seat Lower Level - No F&B,No F&B at Seats,4_10_5,342.2099719
50,4,12,1,3,3,3,Lower Level,3 Seat Lower Level,,4_12_1,319.132128
51,4,12,6,9,4,4,Lower Level,4 Seat Lower Level,,4_12_6,331.9391317
52,4,14,1,2,2,2,Lower Level,2 Seat Lower Level,,4_14_1,311.5996063
53,4,14,5,6,2,2,Lower Level,2 Seat Lower Level,,4_14_5,319.6128361
54,4,14,9,11,3,3,Lower Level,3 Seat Lower Level,,4_14_9,328.1509816
55,4,16,1,2,2,2,Lower Level,2 Seat Lower Level,,4_16_1,305.3662837
56,4,16,5,6,2,2,Lower Level,2 Seat Lower Level,,4_16_5,311.3480931
57,4,16,9,10,2,2,Lower Level,2 Seat Lower Level,,4_16_9,317.3715352
58,4,16,13,14,2,2,Lower Level,2 Seat Lower Level,,4_16_13,325.0632914
59,4,18,1,2,2,2,Lower Level,2 Seat Lower Level,,4_18_1,299.0282354
60,4,18,5,6,2,2,Lower Level,2 Seat Lower Level,,4_18_5,303.3279962
61,4,18,9,12,4,4,Lower Level,4 Seat Lower Level,,4_18_9,307.0676465
62,4,18,15,16,2,2,Lower Level,2 Seat Lower Level,,4_18_15,316.4925264
63,4,20,1,2,2,2,Lower Level,2 Seat Lower Level,,4_20_1,291.7188994
64,4,20,5,6,2,2,Lower Level,2 Seat Lower Level,,4_20_5,294.7434966
65,4,20,9,10,2,2,Lower Level,2 Seat Lower Level,,4_20_9,296.7083904
66,4,20,13,14,2,2,Lower Level,2 Seat Lower Level,,4_20_13,297.2985453
67,4,20,17,20,4,4,Lower Level,4 Seat Lower Level,,4_20_17,300.9506379
68,6,7,4,5,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,6_7_4,462.0599031
69,6,8,1,2,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,6_8_1,410.5267247
70,6,9,6,7,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,6_9_6,450.3194702
71,6,10,1,3,3,3,Center 10,3 Seat Center 10 - No F&B,No F&B at Seats,6_10_1,391.1142789
72,6,11,7,8,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,6_11_7,439.5074045
73,6,12,1,4,4,4,Center 10,4 Seat Center 10,,6_12_1,376.9660142
74,6,13,7,8,2,2,Center 10,2 Seat Center 10,,6_13_7,427.9210555
75,6,14,1,4,4,4,Center 10,4 Seat Center 10,,6_14_1,368.9231695
76,6,15,7,8,2,2,Center 10,2 Seat Center 10,,6_15_7,414.3226006
77,6,16,1,4,4,4,Center 10,4 Seat Center 10,,6_16_1,358.010241
78,6,17,7,8,2,2,Center 10,2 Seat Center 10,,6_17_7,397.245451
79,6,18,1,4,4,4,Center 10,4 Seat Center 10,,6_18_1,343.6280602
80,6,19,7,8,2,2,Center 10,2 Seat Center 10,,6_19_7,375.647501
81,6,20,1,4,4,4,Center 10,4 Seat Center 10,,6_20_1,325.3770392
82,7,7,1,2,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,7_7_1,573.7339366
83,7,7,5,6,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,7_7_5,537.1164388
84,7,7,9,10,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,7_7_9,533.103386
85,7,7,13,14,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,7_7_13,555.14642
86,7,7,17,18,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,7_7_17,595.1009754
87,7,9,1,2,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,7_9_1,476.6240661
88,7,9,5,6,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,7_9_5,444.4938909
89,7,9,9,10,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,7_9_9,443.2268821
90,7,9,13,14,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,7_9_13,467.394903
91,7,9,17,18,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,7_9_17,509.4049138
92,7,11,1,2,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,7_11_1,412.6379768
93,7,11,5,6,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,7_11_5,385.468965
94,7,11,9,12,4,4,Center 10,4 Seat Center 10 - No F&B,No F&B at Seats,7_11_9,387.3531684
95,7,11,15,18,4,4,Center 10,4 Seat Center 10 - No F&B,No F&B at Seats,7_11_15,433.1491835
96,7,13,1,2,2,2,Center 10,2 Seat Center 10,,7_13_1,374.1427134
97,7,13,5,6,2,2,Center 10,2 Seat Center 10,,7_13_5,352.328874
98,7,13,9,12,4,4,Center 10,4 Seat Center 10,,7_13_9,357.2389622
99,7,13,15,18,4,4,Center 10,4 Seat Center 10,,7_13_15,404.3127162
100,7,15,1,2,2,2,Center 10,2 Seat Center 10,,7_15_1,354.6538694
101,7,15,5,6,2,2,Center 10,2 Seat Center 10,,7_15_5,338.1642996
102,7,15,9,12,4,4,Center 10,4 Seat Center 10,,7_15_9,345.7530469
103,7,15,15,18,4,4,Center 10,4 Seat Center 10,,7_15_15,393.2281062
104,7,17,1,2,2,2,Center 10,2 Seat Center 10,,7_17_1,347.8673034
105,7,17,5,6,2,2,Center 10,2 Seat Center 10,,7_17_5,336.4534944
106,7,17,9,10,2,2,Center 10,2 Seat Center 10,,7_17_9,346.4539363
107,7,17,13,14,2,2,Center 10,2 Seat Center 10,,7_17_13,374.1568771
108,7,17,17,18,2,2,Center 10,2 Seat Center 10,,7_17_17,414.3247466
109,7,19,1,2,2,2,Center 10,2 Seat Center 10,,7_19_1,348.1771884
110,7,19,5,6,2,2,Center 10,2 Seat Center 10,,7_19_5,341.4202374
111,7,19,13,14,2,2,Center 10,2 Seat Center 10,,7_19_13,380.4206732
112,7,19,17,18,2,2,Center 10,2 Seat Center 10,,7_19_17,417.6115872
113,8,7,1,2,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,8_7_1,676.874546
114,8,7,5,6,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,8_7_5,702.8151773
115,8,7,9,12,4,4,Center 10,4 Seat Center 10 - No F&B,No F&B at Seats,8_7_9,685.2736296
117,8,9,1,2,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,8_9_1,612.855408
118,8,9,5,6,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,8_9_5,643.6885302
119,8,9,9,12,4,4,Center 10,4 Seat Center 10 - No F&B,No F&B at Seats,8_9_9,636.5483004
120,8,9,15,18,4,4,Center 10,4 Seat Center 10 - No F&B,No F&B at Seats,8_9_15,638.943256
121,8,11,1,2,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,8_11_1,571.0806006
122,8,11,5,6,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,8_11_5,603.2579881
123,8,11,9,10,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,8_11_9,601.4351609
124,8,11,13,14,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,8_11_13,606.5092048
125,8,11,17,18,2,2,Center 10,2 Seat Center 10 - No F&B,No F&B at Seats,8_11_17,581.4531619
126,8,13,1,2,2,2,Center 10,2 Seat Center 10,,8_13_1,545.0528411
127,8,13,5,6,2,2,Center 10,2 Seat Center 10,,8_13_5,575.7602066
128,8,13,9,10,2,2,Center 10,2 Seat Center 10,,8_13_9,575.3001003
129,8,13,13,14,2,2,Center 10,2 Seat Center 10,,8_13_13,579.0191488
130,8,13,17,18,2,2,Center 10,2 Seat Center 10,,8_13_17,554.8060617
