PC Adult,section_name,row_name,seat,Last Seat,Timestamp,20-Game Plan,10-Game Plan,Pick Plan,Individual ,tickets_sold,20-Game Plan $,10-Game Plan $,Pick Plan $,Group $,gross_revenue
1,FLR23,AA,7,8,44309,14,0,0,0,14,100992,0,0,0,0
1,FLR23,AA,23,23,44309,2,0,0,0,2,17266,0,0,0,0
1,FLR23,AA,23,24,44309,32,0,0,4,36,142860,0,0,0,11440
1,FLR23,AA,24,24,44309,2,0,0,0,2,17266,0,0,0,0
1,FLR24,AA,29,32,44309,80,0,0,0,80,369775,0,0,0,0
1,FLR24,AA,37,37,44309,1,0,0,0,1,3316,0,0,0,0
1,FLR24,AA,37,38,44309,22,0,0,0,22,69064,0,0,0,0
1,FLR24,AA,38,38,44309,1,0,0,0,1,3316,0,0,0,0
1,FLR24,AA,43,45,44309,3,0,0,0,3,5983,0,0,0,0
1,FLR24,AA,43,46,44309,76,0,0,0,76,361797,0,0,0,0
1,FLR24,AA,46,46,44309,1,0,0,0,1,1994,0,0,0,0
1,FLR25,AA,51,52,44309,40,0,0,0,40,184887,0,0,0,0
2,FLR23,AA,7,7,44309,0,0,0,0,0,0,0,0,0,0
2,FLR23,AA,7,8,44309,0,0,0,16,16,0,0,0,0,75280
2,FLR23,AA,8,8,44309,0,0,0,0,0,0,0,0,0,0
2,FLR23,AA,11,12,44309,40,0,0,0,40,173066,0,0,0,0
2,FLR23,AA,15,17,44309,0,0,0,3,3,0,0,0,0,10350
2,FLR23,AA,15,18,44309,0,0,0,0,0,0,0,0,0,0
2,FLR25,AA,57,57,44309,3,0,0,0,3,21420,0,0,0,0
2,FLR25,AA,57,58,44309,10,0,0,0,10,72204,0,0,0,0
2,FLR25,AA,57,60,44309,48,0,0,0,48,139686,0,0,0,0
2,FLR25,AA,58,58,44309,1,0,0,0,1,4099,0,0,0,0
2,FLR25,AA,58,60,44309,6,0,0,0,6,51962,0,0,0,0
2,FLR25,AA,59,60,44309,12,0,0,0,12,80403,0,0,0,0
2,FLR25,AA,65,66,44309,20,0,0,0,20,99753,0,0,0,0
2,FLR25,AA,65,68,44309,40,0,0,0,40,170269,0,0,0,0
2,FLR25,AA,67,67,44309,1,0,0,0,1,3316,0,0,0,0
2,FLR25,AA,67,68,44309,18,0,0,0,18,93120,0,0,0,0
2,FLR25,AA,68,68,44309,1,0,0,0,1,3316,0,0,0,0
3,FLR23,AA,1,2,44309,40,0,0,0,40,130329,0,0,0,0
3,FLR25,AA,73,73,44309,1,0,0,0,1,2622,0,0,0,0
3,FLR25,AA,73,74,44309,38,0,0,0,38,125086,0,0,0,0
3,FLR25,AA,74,74,44309,1,0,0,0,1,2622,0,0,0,0
4,FLR17,AA,4,4,44309,0,0,0,0,0,0,0,0,0,0
4,FLR17,AA,5,5,44309,0,0,0,0,0,0,0,0,0,0
4,FLR17,AA,5,6,44309,0,0,0,4,4,0,0,0,0,7720
4,FLR17,AA,5,8,44309,0,0,0,8,8,0,0,0,0,33680
4,FLR17,AA,6,8,44309,0,0,0,0,0,0,0,0,0,0
4,FLR17,AA,7,8,44309,0,0,0,4,4,0,0,0,0,13669
4,FLR17W,AAW,1,1,44309,0,0,0,0,0,0,0,0,0,0
4,FLR17W,AAW,1,2,44309,0,0,0,2,2,0,0,0,0,5445
4,FLR17W,AAW,1,3,44309,0,0,0,0,0,0,0,0,0,0
4,FLR17W,AAW,1,4,44309,4,0,0,0,4,648,0,0,0,0
4,FLR17W,AAW,2,2,44309,0,0,0,0,0,0,0,0,0,0
4,FLR17W,AAW,3,3,44309,0,0,0,0,0,0,0,0,0,0
4,FLR17W,AAW,3,4,44309,0,0,0,0,0,0,0,0,0,0
4,FLR17W,AAW,4,4,44309,0,0,0,0,0,0,0,0,0,0
4,FLR31,AA,1,1,44309,1,0,0,0,1,2622,0,0,0,0
4,FLR31,AA,1,2,44309,38,0,0,0,38,125086,0,0,0,0
4,FLR31,AA,2,2,44309,1,0,0,0,1,2622,0,0,0,0
4,FLR31,AA,3,4,44309,40,0,0,0,40,130329,0,0,0,0
4,FLR31W,AAW,1,2,44309,2,0,0,0,2,5947,0,0,0,0
4,FLR31W,AAW,1,4,44309,64,0,0,0,64,161222,0,0,0,0
4,FLR31W,AAW,3,4,44309,2,0,0,0,2,5947,0,0,0,0
6,PLT7,TBL1,1,2,44309,2,0,0,0,2,578,0,0,0,0
6,PLT7,TBL1,1,4,44309,76,0,0,0,76,70205,0,0,0,0
6,PLT7,TBL1,3,4,44309,2,0,0,0,2,578,0,0,0,0
6,PLT7,TBL1,5,6,44309,0,0,0,26,26,0,0,0,0,9100
6,PLT7,TBL2,1,2,44309,22,0,0,0,22,21008,0,0,0,0
6,PLT7,TBL2,1,3,44309,3,0,0,0,3,6481,0,0,0,0
6,PLT7,TBL2,1,4,44309,32,0,0,0,32,20703,0,0,0,0
6,PLT7,TBL2,3,4,44309,22,0,0,0,22,21008,0,0,0,0
6,PLT7,TBL2,4,4,44309,1,0,0,0,1,2161,0,0,0,0
6,PLT7,TBL2,5,6,44309,0,0,0,2,2,0,0,0,0,1500
6,PLT10,TBL1,1,1,44309,4,0,0,0,4,5509,0,0,0,0
6,PLT10,TBL1,1,4,44309,64,0,0,0,64,49324,0,0,0,0
6,PLT10,TBL1,2,2,44309,4,0,0,0,4,5509,0,0,0,0
6,PLT10,TBL1,3,3,44309,4,0,0,0,4,5509,0,0,0,0
6,PLT10,TBL1,4,4,44309,4,0,0,0,4,5509,0,0,0,0
6,PLT23,TBL1,1,4,44309,80,0,0,0,80,107734,0,0,0,0
6,PLT25,TBL1,1,1,44309,7,0,0,0,7,9671,0,0,0,0
6,PLT25,TBL1,1,2,44309,4,0,0,0,4,9297,0,0,0,0
6,PLT25,TBL1,1,4,44309,44,0,0,0,44,50455,0,0,0,0
6,PLT25,TBL1,2,2,44309,7,0,0,0,7,9671,0,0,0,0
6,PLT25,TBL1,3,3,44309,5,0,0,0,5,8267,0,0,0,0
6,PLT25,TBL1,3,4,44309,8,0,0,0,8,12105,0,0,0,0
6,PLT25,TBL1,4,4,44309,5,0,0,0,5,8267,0,0,0,0
7,PLT1,TBL1,1,4,44309,4,0,0,0,4,4787,0,0,0,0
7,PLT31,TBL1,1,1,44309,1,0,0,0,1,962,0,0,0,0
