PC Adult,section_name,row_name,seat,Last Seat,Timestamp,20-Game Plan,10-Game Plan,Pick Plan,Individual ,total_sold,20-Game Plan $,10-Game Plan $,Pick Plan $,Group $,gross_revenue
1,FLR23,AA,7,8,44316,4,0,0,0,4,40841,0,0,0,0
1,FLR23,AA,23,24,44316,6,0,0,0,6,61992,0,0,0,0
1,FLR24,AA,29,32,44316,12,0,0,0,12,123984,0,0,0,0
1,FLR24,AA,37,38,44316,2,0,0,0,2,21151,0,0,0,0
1,FLR24,AA,43,46,44316,12,0,0,0,12,123984,0,0,0,0
1,FLR25,AA,51,52,44316,6,0,0,0,6,61992,0,0,0,0
2,FLR23,AA,7,8,44316,0,0,0,2,2,0,0,0,0,24000
2,FLR23,AA,11,12,44316,6,0,0,0,6,56954,0,0,0,0
2,FLR23,AA,15,18,44316,0,0,0,0,0,0,0,0,0,0
2,FLR25,AA,57,57,44316,1,0,0,0,1,10575,0,0,0,0
2,FLR25,AA,57,58,44316,2,0,0,0,2,27241,0,0,0,0
2,FLR25,AA,57,60,44316,4,0,0,0,4,27200,0,0,0,0
2,FLR25,AA,58,60,44316,3,0,0,0,3,31726,0,0,0,0
2,FLR25,AA,59,60,44316,2,0,0,0,2,27241,0,0,0,0
2,FLR25,AA,65,66,44316,4,0,0,0,4,34751,0,0,0,0
2,FLR25,AA,65,68,44316,4,0,0,0,4,54482,0,0,0,0
2,FLR25,AA,67,68,44316,4,0,0,0,4,34751,0,0,0,0
3,FLR23,AA,1,1,44316,1,0,0,0,1,4850,0,0,0,0
3,FLR23,AA,1,2,44316,4,0,0,0,4,33769,0,0,0,0
3,FLR23,AA,2,2,44316,1,0,0,0,1,4850,0,0,0,0
3,FLR25,AA,73,74,44316,6,0,0,0,6,43468,0,0,0,0
4,FLR17,AA,5,6,44316,0,0,0,2,2,0,0,0,0,4208
4,FLR17,AA,7,8,44316,0,0,0,2,2,0,0,0,0,11590
4,FLR17W,AAW,1,2,44316,0,0,0,2,2,0,0,0,0,5445
4,FLR17W,AAW,1,3,44316,0,0,0,0,0,0,0,0,0,0
4,FLR17W,AAW,3,4,44316,0,0,0,0,0,0,0,0,0,0
4,FLR31,AA,1,2,44316,6,0,0,0,6,43468,0,0,0,0
4,FLR31,AA,3,4,44316,6,0,0,0,6,43468,0,0,0,0
4,FLR31W,AAW,1,4,44316,12,0,0,0,12,68328,0,0,0,0
