PC Adult,section_name,row_name,seat,Last Seat,Timestamp,20-Game Plan,10-Game Plan,Pick Plan,tickets_sold,Total Sold,20-Game Plan $,10-Game Plan $,Pick Plan $,Group $,gross_revenue
1,FLR23,AA,7,8,44316,2,0,0,0,2,27241,0,0,0,0
1,FLR23,AA,23,24,44316,2,0,0,0,2,27241,0,0,0,0
1,FLR24,AA,29,32,44316,4,0,0,0,4,54482,0,0,0,0
1,FLR24,AA,43,46,44316,4,0,0,0,4,54482,0,0,0,0
1,FLR25,AA,51,52,44316,2,0,0,0,2,27241,0,0,0,0
2,FLR23,AA,11,12,44316,2,0,0,0,2,24781,0,0,0,0
2,FLR23,AA,15,18,44316,0,0,0,0,0,0,0,0,0,0
2,FLR25,AA,57,58,44316,2,0,0,0,2,27241,0,0,0,0
2,FLR25,AA,59,60,44316,2,0,0,0,2,27241,0,0,0,0
2,FLR25,AA,65,68,44316,4,0,0,0,4,54482,0,0,0,0
3,FLR23,AA,1,2,44316,2,0,0,0,2,18908,0,0,0,0
3,FLR25,AA,73,74,44316,2,0,0,0,2,18908,0,0,0,0
4,FLR17,AA,7,8,44316,0,0,0,2,2,0,0,0,0,11590
4,FLR17W,AAW,1,2,44316,0,0,0,2,2,0,0,0,0,5445
4,FLR17W,AAW,3,4,44316,0,0,0,0,0,0,0,0,0,0
4,FLR31,AA,1,2,44316,2,0,0,0,2,18908,0,0,0,0
4,FLR31,AA,3,4,44316,2,0,0,0,2,18908,0,0,0,0
4,FLR31W,AAW,1,4,44316,4,0,0,0,4,29852,0,0,0,0
8,6,8,1,2,44316,0,0,0,2,2,0,0,0,0,1517
8,6,10,6,7,44316,0,0,0,2,2,0,0,0,0,1337
8,10,8,3,6,44316,0,0,0,4,4,0,0,0,0,5640
8,22,2,1,2,44316,2,0,0,0,2,3746,0,0,0,0
8,22,5,1,2,44316,2,0,0,0,2,3746,0,0,0,0
8,22,8,1,2,44316,2,0,0,0,2,3746,0,0,0,0
8,22,9,2,5,44316,0,0,0,4,4,0,0,0,0,2554
8,23,5,3,4,44316,2,0,0,0,2,3746,0,0,0,0
8,23,5,14,15,44316,2,0,0,0,2,3746,0,0,0,0
8,23,5,16,17,44316,2,0,0,0,2,3746,0,0,0,0
8,23,7,9,10,44316,2,0,0,0,2,3746,0,0,0,0
8,23,9,3,4,44316,2,0,0,0,2,3746,0,0,0,0
8,23,9,15,16,44316,2,0,0,0,2,3746,0,0,0,0
8,24,7,9,10,44316,2,0,0,0,2,3746,0,0,0,0
8,24,9,3,6,44316,4,0,0,0,4,7493,0,0,0,0
8,24,9,14,17,44316,4,0,0,0,4,7493,0,0,0,0
8,25,7,9,10,44316,2,0,0,0,2,3746,0,0,0,0
8,25,9,3,6,44316,4,0,0,0,4,7493,0,0,0,0
8,25,9,15,16,44316,2,0,0,0,2,3746,0,0,0,0
8,26,2,1,2,44316,0,0,0,2,2,0,0,0,0,1277
8,26,5,3,4,44316,0,0,0,2,2,0,0,0,0,1250
8,26,9,3,6,44316,0,0,0,0,0,0,0,0,0,0
8,VIP24,5,3,4,44316,2,0,0,0,2,3746,0,0,0,0
8,VIP24,5,13,14,44316,2,0,0,0,2,3746,0,0,0,0
8,VIP24,5,15,16,44316,2,0,0,0,2,3746,0,0,0,0
8,VIP25,5,3,4,44316,2,0,0,0,2,3746,0,0,0,0
8,VIP25,5,13,16,44316,4,0,0,0,4,7493,0,0,0,0
9,7,10,1,2,44316,0,0,0,2,2,0,0,0,0,1321
9,7,10,8,9,44316,0,0,0,2,2,0,0,0,0,1238
9,7,10,17,17,44316,1,0,0,0,1,1323,0,0,0,0
9,7,10,18,18,44316,1,0,0,0,1,1323,0,0,0,0
9,9,9,1,2,44316,0,0,0,2,2,0,0,0,0,1750
9,9,9,8,11,44316,0,0,0,4,4,0,0,0,0,2966
9,9,9,17,18,44316,0,0,2,0,2,0,0,3153,0,0
9,23,1,1,2,44316,0,0,0,2,2,0,0,0,0,6830
9,23,1,9,10,44316,2,0,0,0,2,6074,0,0,0,0
9,23,1,17,18,44316,0,0,2,0,2,0,0,5881,0,0
9,23,4,9,10,44316,0,0,0,2,2,0,0,0,0,4200
9,VIP25,1,1,2,44316,2,0,0,0,2,4281,0,0,0,0
9,VIP25,1,8,9,44316,2,0,0,0,2,6136,0,0,0,0
9,VIP25,1,15,16,44316,0,0,2,0,2,0,0,3335,0,0
9,VIP25,1,17,18,44316,0,0,2,0,2,0,0,3335,0,0
9,VIP25,4,8,9,44316,2,0,0,0,2,6583,0,0,0,0
A,9,17,10,11,44316,2,0,0,0,2,996,0,0,0,0
A,23,12,1,2,44316,2,0,0,0,2,855,0,0,0,0
A,23,12,3,4,44316,2,0,0,0,2,855,0,0,0,0
A,23,15,11,12,44316,2,0,0,0,2,2772,0,0,0,0
A,25,12,15,15,44316,1,0,0,0,1,1397,0,0,0,0
A,25,12,16,18,44316,3,0,0,0,3,4190,0,0,0,0
A,25,15,8,9,44316,2,0,0,0,2,2983,0,0,0,0
B,6,11,1,2,44316,0,0,0,2,2,0,0,0,0,3140
B,8,12,3,6,44316,4,0,0,0,4,5543,0,0,0,0
B,8,12,15,16,44316,0,2,0,0,2,0,2528,0,0,0
B,8,14,9,10,44316,2,0,0,0,2,2772,0,0,0,0
B,8,16,3,4,44316,2,0,0,0,2,2772,0,0,0,0
B,8,16,13,16,44316,0,0,0,0,0,0,0,0,0,0
B,9,12,3,4,44316,2,0,0,0,2,2772,0,0,0,0
B,9,12,15,16,44316,2,0,0,0,2,2772,0,0,0,0
B,9,14,9,10,44316,2,0,0,0,2,2772,0,0,0,0
B,9,16,3,6,44316,4,0,0,0,4,5543,0,0,0,0
B,9,16,15,16,44316,2,0,0,0,2,2772,0,0,0,0
B,10,11,1,1,44316,1,0,0,0,1,1481,0,0,0,0
B,10,11,2,2,44316,1,0,0,0,1,1481,0,0,0,0
B,10,11,7,8,44316,0,0,0,2,2,0,0,0,0,3140
B,22,13,3,4,44316,2,0,0,0,2,2772,0,0,0,0
B,22,15,7,8,44316,0,0,0,2,2,0,0,0,0,1500
B,22,17,1,2,44316,2,0,0,0,2,2772,0,0,0,0
B,22,20,1,2,44316,0,0,0,2,2,0,0,0,0,743
B,23,11,9,10,44316,2,0,0,0,2,2772,0,0,0,0
B,23,13,15,16,44316,2,0,0,0,2,2772,0,0,0,0
B,23,17,15,16,44316,2,0,0,0,2,2772,0,0,0,0
B,24,11,9,10,44316,2,0,0,0,2,2772,0,0,0,0
B,24,13,3,4,44316,0,0,0,2,2,0,0,0,0,3140
B,24,13,15,16,44316,2,0,0,0,2,2772,0,0,0,0
B,24,15,9,10,44316,2,0,0,0,2,2772,0,0,0,0
B,24,17,3,4,44316,2,0,0,0,2,2772,0,0,0,0
B,24,17,15,16,44316,2,0,0,0,2,2772,0,0,0,0
B,24,18,9,10,44316,2,0,0,0,2,2772,0,0,0,0
B,25,11,10,10,44316,1,0,0,0,1,1386,0,0,0,0
B,25,11,11,11,44316,1,0,0,0,1,1386,0,0,0,0
B,25,13,3,4,44316,0,0,0,2,2,0,0,0,0,1468
B,25,17,3,4,44316,2,0,0,0,2,2772,0,0,0,0
B,26,12,1,2,44316,2,0,0,0,2,2772,0,0,0,0
B,26,12,7,8,44316,0,0,0,2,2,0,0,0,0,3140
C,8,8,1,2,44316,0,0,0,2,2,0,0,0,0,3800
C,8,8,8,11,44316,0,0,0,4,4,0,0,0,0,7600
C,8,8,17,18,44316,0,0,0,2,2,0,0,0,0,2900
C,VIP24,1,3,3,44316,1,0,0,0,1,3704,0,0,0,0
C,VIP24,1,4,4,44316,1,0,0,0,1,3704,0,0,0,0
C,VIP24,1,5,6,44316,2,0,0,0,2,7409,0,0,0,0
C,VIP24,1,15,16,44316,2,0,0,0,2,7409,0,0,0,0
C,VIP24,3,9,10,44316,2,0,0,0,2,4554,0,0,0,0
D,19,4,7,8,44316,2,0,0,0,2,1046,0,0,0,0
D,19,4,12,13,44316,0,0,0,2,2,0,0,0,0,1150
D,19,6,5,6,44316,0,0,0,2,2,0,0,0,0,1150
D,19,8,14,16,44316,0,0,0,3,3,0,0,0,0,1335
D,19,9,7,8,44316,0,0,0,0,0,0,0,0,0,0
D,20,4,1,2,44316,2,0,0,0,2,1046,0,0,0,0
D,20,7,3,4,44316,0,0,0,2,2,0,0,0,0,1150
D,28,8,3,4,44316,0,0,0,2,2,0,0,0,0,1880
D,28,10,1,2,44316,2,0,0,0,2,1046,0,0,0,0
D,29,6,5,6,44316,0,0,0,2,2,0,0,0,0,850
D,29,9,3,4,44316,0,0,0,0,0,0,0,0,0,0
D,29,9,10,10,44316,0,0,0,1,1,0,0,0,0,395
D,29,9,11,11,44316,0,0,0,1,1,0,0,0,0,395
E,8,11,10,11,44316,2,0,0,0,2,2855,0,0,0,0
E,8,17,8,9,44316,2,0,0,0,2,855,0,0,0,0
E,8WC,19W,1,1,44316,0,0,0,1,1,0,0,0,0,445
E,8WC,19W,2,2,44316,0,0,0,1,1,0,0,0,0,445
E,8WC,19W,11,12,44316,0,0,0,2,2,0,0,0,0,890
F,3,12,1,4,44316,0,0,0,4,4,0,0,0,0,1660
F,3,12,13,14,44316,0,0,0,2,2,0,0,0,0,830
F,3,14,9,10,44316,0,0,0,2,2,0,0,0,0,2200
F,3,16,3,4,44316,0,0,0,2,2,0,0,0,0,1990
F,3,16,8,9,44316,2,0,0,0,2,864,0,0,0,0
F,3,16,14,17,44316,0,0,0,4,4,0,0,0,0,1620
F,3,18,1,2,44316,0,0,0,2,2,0,0,0,0,830
F,3,18,23,24,44316,0,0,0,2,2,0,0,0,0,830
F,3WC,19W,7,8,44316,0,0,0,2,2,0,0,0,0,1030
F,3WC,19W,9,10,44316,0,0,0,2,2,0,0,0,0,1030
F,4,12,1,2,44316,0,0,0,2,2,0,0,0,0,830
F,4,12,8,9,44316,0,0,0,2,2,0,0,0,0,830
F,4,14,5,6,44316,0,0,0,2,2,0,0,0,0,2200
F,4,16,1,4,44316,0,0,0,4,4,0,0,0,0,1660
F,4,16,11,11,44316,0,0,0,1,1,0,0,0,0,395
F,4,16,12,12,44316,0,0,0,1,1,0,0,0,0,395
F,4,18,7,8,44316,0,0,0,2,2,0,0,0,0,1600
F,4,19,1,6,44316,6,0,0,0,6,6492,0,0,0,0
F,4,20,3,6,44316,0,0,0,4,4,0,0,0,0,1366
F,4,20,11,12,44316,0,0,0,2,2,0,0,0,0,790
F,12,13,1,2,44316,2,0,0,0,2,264,0,0,0,0
F,12,13,7,10,44316,0,0,0,4,4,0,0,0,0,1660
F,12,15,6,7,44316,0,0,0,2,2,0,0,0,0,790
F,12,16,4,5,44316,0,0,0,2,2,0,0,0,0,790
F,12,16,13,14,44316,0,0,0,2,2,0,0,0,0,830
F,12,18,12,13,44316,2,0,0,0,2,264,0,0,0,0
F,12,20,11,11,44316,0,0,0,1,1,0,0,0,0,395
F,12,20,12,14,44316,0,0,0,3,3,0,0,0,0,1185
F,12,20,19,20,44316,0,0,0,2,2,0,0,0,0,830
F,13,11,1,2,44316,2,0,0,0,2,864,0,0,0,0
F,13,11,8,9,44316,2,0,0,0,2,864,0,0,0,0
F,13,11,15,16,44316,2,0,0,0,2,864,0,0,0,0
F,13,13,5,6,44316,2,0,0,0,2,864,0,0,0,0
F,13,13,12,13,44316,2,0,0,0,2,864,0,0,0,0
F,13,15,1,2,44316,2,0,0,0,2,864,0,0,0,0
F,13,15,8,9,44316,2,0,0,0,2,864,0,0,0,0
F,13,15,15,18,44316,4,0,0,0,4,1728,0,0,0,0
F,13,17,4,5,44316,2,0,0,0,2,864,0,0,0,0
F,13,17,12,13,44316,2,0,0,0,2,864,0,0,0,0
F,13,17,19,20,44316,2,0,0,0,2,864,0,0,0,0
F,19,11,4,5,44316,0,0,0,2,2,0,0,0,0,790
F,19,12,9,10,44316,2,0,0,0,2,264,0,0,0,0
F,19,12,14,15,44316,0,0,0,2,2,0,0,0,0,830
F,19,14,7,8,44316,0,0,0,2,2,0,0,0,0,1600
F,19,15,16,18,44316,0,0,0,3,3,0,0,0,0,1245
F,19,16,3,4,44316,0,0,0,2,2,0,0,0,0,790
F,19,17,9,10,44316,0,0,0,2,2,0,0,0,0,790
F,19,18,15,16,44316,0,0,0,0,0,0,0,0,0,0
F,19,18,20,21,44316,0,0,0,0,0,0,0,0,0,0
F,19,20,3,6,44316,4,0,0,0,4,527,0,0,0,0
F,19WC,19W,1,2,44316,0,0,0,2,2,0,0,0,0,830
F,20,11,4,5,44316,0,0,0,2,2,0,0,0,0,1030
F,20,13,7,8,44316,2,0,0,0,2,264,0,0,0,0
F,20,15,2,3,44316,0,0,0,2,2,0,0,0,0,1030
F,20,15,11,12,44316,0,0,0,2,2,0,0,0,0,1030
F,20,17,7,8,44316,0,0,0,2,2,0,0,0,0,1030
F,20,19,3,4,44316,0,0,0,2,2,0,0,0,0,1030
F,20,19,15,18,44316,0,0,0,4,4,0,0,0,0,2060
F,20,20,10,10,44316,0,0,0,1,1,0,0,0,0,1100
F,20,20,11,11,44316,0,0,0,1,1,0,0,0,0,1100
F,28,12,6,7,44316,0,0,0,0,0,0,0,0,0,0
F,28,13,2,3,44316,0,0,0,2,2,0,0,0,0,810
F,28,16,3,3,44316,0,0,0,1,1,0,0,0,0,800
F,28,16,4,4,44316,0,0,0,1,1,0,0,0,0,800
F,28,16,11,12,44316,0,0,0,2,2,0,0,0,0,1600
F,29,11,7,8,44316,0,0,0,2,2,0,0,0,0,802
F,29,13,3,4,44316,2,0,0,0,2,864,0,0,0,0
F,29,13,12,13,44316,0,0,0,2,2,0,0,0,0,790
F,29,15,7,8,44316,0,0,0,2,2,0,0,0,0,810
F,29,17,3,4,44316,0,0,0,0,0,0,0,0,0,0
F,29,17,12,13,44316,0,0,0,2,2,0,0,0,0,810
H,15,10,1,1,44316,0,0,0,1,1,0,0,0,0,425
H,15,10,2,2,44316,0,0,0,1,1,0,0,0,0,425
H,15,10,8,9,44316,0,0,0,0,0,0,0,0,0,0
H,16,2,6,7,44316,0,0,0,2,2,0,0,0,0,970
H,16,4,9,10,44316,2,0,0,0,2,1046,0,0,0,0
H,16,6,6,6,44316,0,0,0,1,1,0,0,0,0,425
H,16,6,7,7,44316,0,0,0,1,1,0,0,0,0,425
H,16,9,11,12,44316,0,0,0,2,2,0,0,0,0,850
H,16,10,1,3,44316,0,0,0,3,3,0,0,0,0,1275
H,16,10,16,17,44316,0,0,0,2,2,0,0,0,0,970
H,17,2,1,2,44316,0,0,0,2,2,0,0,0,0,1450
H,17,8,1,1,44316,0,0,0,1,1,0,0,0,0,425
H,17,8,2,2,44316,0,0,0,1,1,0,0,0,0,425
J,1,15,3,3,44316,0,0,0,1,1,0,0,0,0,595
J,1,15,4,4,44316,0,0,0,1,1,0,0,0,0,595
J,1,15,15,18,44316,0,0,0,4,4,0,0,0,0,1580
J,1,17,8,9,44316,0,0,0,2,2,0,0,0,0,1190
J,1,18,14,15,44316,0,0,0,2,2,0,0,0,0,790
J,1,19,18,21,44316,0,0,0,4,4,0,0,0,0,1800
J,1,20,1,2,44316,0,0,0,2,2,0,0,0,0,790
J,1,20,10,11,44316,0,0,0,2,2,0,0,0,0,1190
J,15,12,6,7,44316,0,0,0,2,2,0,0,0,0,810
J,15,13,1,2,44316,0,0,0,2,2,0,0,0,0,860
J,15,14,11,12,44316,0,0,0,2,2,0,0,0,0,810
J,15,16,1,2,44316,2,0,0,0,2,864,0,0,0,0
J,15,17,7,8,44316,0,0,0,2,2,0,0,0,0,2100
J,15,17,14,15,44316,0,0,0,2,2,0,0,0,0,860
J,15,19,1,4,44316,0,0,0,4,4,0,0,0,0,4600
J,15,19,13,14,44316,2,0,0,0,2,864,0,0,0,0
J,16,12,9,10,44316,0,0,0,2,2,0,0,0,0,900
J,16,14,3,4,44316,0,0,0,2,2,0,0,0,0,900
J,16,14,15,18,44316,0,0,0,4,4,0,0,0,0,1800
J,16,16,9,10,44316,0,0,0,2,2,0,0,0,0,900
J,16,17,1,1,44316,0,0,0,1,1,0,0,0,0,415
J,16,17,2,2,44316,0,0,0,1,1,0,0,0,0,415
J,16,17,3,3,44316,0,0,0,1,1,0,0,0,0,415
J,16,17,4,4,44316,0,0,0,1,1,0,0,0,0,415
J,16,17,17,17,44316,0,0,0,1,1,0,0,0,0,415
J,16,18,13,14,44316,2,0,0,0,2,864,0,0,0,0
J,17,12,1,2,44316,0,0,0,2,2,0,0,0,0,810
J,17,12,7,7,44316,0,0,0,1,1,0,0,0,0,395
J,17,12,8,8,44316,0,0,0,1,1,0,0,0,0,395
J,17,14,10,11,44316,0,0,0,2,2,0,0,0,0,790
J,17,16,1,4,44316,0,0,0,4,4,0,0,0,0,1620
J,17,17,14,15,44316,0,0,0,2,2,0,0,0,0,790
J,17,19,9,10,44316,0,0,0,2,2,0,0,0,0,790
J,17,20,1,2,44316,0,0,0,2,2,0,0,0,0,2100
J,17,20,3,3,44316,0,0,0,1,1,0,0,0,0,1050
J,17,20,4,4,44316,0,0,0,1,1,0,0,0,0,1050
J,31,15,3,4,44316,0,0,0,2,2,0,0,0,0,790
J,31,15,8,11,44316,0,0,0,4,4,0,0,0,0,1580
J,31,15,18,19,44316,0,0,0,2,2,0,0,0,0,1190
J,31,17,15,16,44316,0,0,0,2,2,0,0,0,0,790
J,31,18,7,8,44316,0,0,0,2,2,0,0,0,0,1190
J,31,18,27,28,44316,0,0,0,2,2,0,0,0,0,1190
J,31,20,2,3,44316,0,0,0,2,2,0,0,0,0,790
J,31,20,13,14,44316,0,0,0,2,2,0,0,0,0,790
J,31WC,19W,1,4,44316,0,0,0,4,4,0,0,0,0,1720
Grand Total,,,,,,230,2,8,282,522,686511,2528,15705,0,194672
