PC Adult,section_name,row_name,seat,Last Seat,Timestamp,20-Game Plan,10-Game Plan,Pick Plan,tickets_sold,Total Sold,20-Game Plan $,10-Game Plan $,Pick Plan $,Group $,gross_revenue
1,FLR23,AA,7,8,44316,2,0,0,0,2,27241,0,0,0,0
1,FLR23,AA,23,24,44316,4,0,0,0,4,48392,0,0,0,0
1,FLR24,AA,29,32,44316,8,0,0,0,8,96784,0,0,0,0
1,FLR24,AA,37,38,44316,2,0,0,0,2,21151,0,0,0,0
1,FLR24,AA,43,46,44316,8,0,0,0,8,96784,0,0,0,0
1,FLR25,AA,51,52,44316,4,0,0,0,4,48392,0,0,0,0
2,FLR23,AA,7,8,44316,0,0,0,2,2,0,0,0,0,24000
2,FLR23,AA,11,12,44316,4,0,0,0,4,44200,0,0,0,0
2,FLR23,AA,15,18,44316,0,0,0,0,0,0,0,0,0,0
2,FLR25,AA,57,57,44316,1,0,0,0,1,10575,0,0,0,0
2,FLR25,AA,57,58,44316,2,0,0,0,2,27241,0,0,0,0
2,FLR25,AA,58,60,44316,3,0,0,0,3,31726,0,0,0,0
2,FLR25,AA,59,60,44316,2,0,0,0,2,27241,0,0,0,0
2,FLR25,AA,65,66,44316,2,0,0,0,2,21151,0,0,0,0
2,FLR25,AA,65,68,44316,4,0,0,0,4,54482,0,0,0,0
2,FLR25,AA,67,68,44316,2,0,0,0,2,21151,0,0,0,0
3,FLR23,AA,1,2,44316,4,0,0,0,4,33769,0,0,0,0
3,FLR25,AA,73,74,44316,4,0,0,0,4,33769,0,0,0,0
4,FLR17,AA,7,8,44316,0,0,0,2,2,0,0,0,0,11590
4,FLR17W,AAW,1,2,44316,0,0,0,2,2,0,0,0,0,5445
4,FLR17W,AAW,1,3,44316,0,0,0,0,0,0,0,0,0,0
4,FLR17W,AAW,3,4,44316,0,0,0,0,0,0,0,0,0,0
4,FLR31,AA,1,2,44316,4,0,0,0,4,33769,0,0,0,0
4,FLR31,AA,3,4,44316,4,0,0,0,4,33769,0,0,0,0
4,FLR31W,AAW,1,4,44316,8,0,0,0,8,53193,0,0,0,0
8,6,8,1,2,44316,0,0,0,4,4,0,0,0,0,2691
8,6,10,6,7,44316,0,0,0,2,2,0,0,0,0,1337
8,10,8,3,6,44316,0,0,0,4,4,0,0,0,0,5640
8,22,2,1,2,44316,4,0,0,0,4,6620,0,0,0,0
8,22,5,1,2,44316,4,0,0,0,4,6620,0,0,0,0
8,22,8,1,2,44316,2,0,0,0,2,3746,0,0,0,0
8,22,9,2,5,44316,0,0,0,4,4,0,0,0,0,2554
8,23,5,3,4,44316,4,0,0,0,4,6620,0,0,0,0
8,23,5,14,15,44316,4,0,0,0,4,6620,0,0,0,0
8,23,5,16,17,44316,4,0,0,0,4,6620,0,0,0,0
8,23,7,9,10,44316,4,0,0,0,4,6620,0,0,0,0
8,23,9,3,3,44316,1,0,0,0,1,1437,0,0,0,0
8,23,9,3,4,44316,2,0,0,0,2,3746,0,0,0,0
8,23,9,4,4,44316,1,0,0,0,1,1437,0,0,0,0
8,23,9,15,16,44316,4,0,0,0,4,6620,0,0,0,0
8,24,7,9,10,44316,4,0,0,0,4,6620,0,0,0,0
8,24,9,3,6,44316,8,0,0,0,8,13239,0,0,0,0
8,24,9,14,17,44316,8,0,0,0,8,13239,0,0,0,0
8,25,7,9,10,44316,4,0,0,0,4,6620,0,0,0,0
8,25,9,3,4,44316,2,0,0,0,2,2873,0,0,0,0
8,25,9,3,6,44316,4,0,0,0,4,7493,0,0,0,0
8,25,9,5,6,44316,2,0,0,0,2,2873,0,0,0,0
8,25,9,15,16,44316,4,0,0,0,4,6620,0,0,0,0
8,26,2,1,2,44316,0,0,0,2,2,0,0,0,0,1277
8,26,5,3,4,44316,2,0,0,2,4,2873,0,0,0,1250
8,26,9,3,6,44316,0,0,0,0,0,0,0,0,0,0
8,VIP24,5,3,4,44316,4,0,0,0,4,6620,0,0,0,0
8,VIP24,5,13,13,44316,1,0,0,0,1,1437,0,0,0,0
8,VIP24,5,13,14,44316,2,0,0,0,2,3746,0,0,0,0
8,VIP24,5,14,14,44316,1,0,0,0,1,1437,0,0,0,0
8,VIP24,5,15,15,44316,1,0,0,0,1,1437,0,0,0,0
8,VIP24,5,15,16,44316,2,0,0,0,2,3746,0,0,0,0
8,VIP24,5,16,16,44316,1,0,0,0,1,1437,0,0,0,0
8,VIP25,5,3,4,44316,4,0,0,0,4,6620,0,0,0,0
8,VIP25,5,13,16,44316,8,0,0,0,8,13239,0,0,0,0
9,7,10,1,2,44316,0,0,0,2,2,0,0,0,0,1321
9,7,10,8,9,44316,0,0,0,2,2,0,0,0,0,1238
9,7,10,17,17,44316,1,0,0,0,1,1323,0,0,0,0
9,7,10,17,18,44316,0,0,0,0,0,0,0,0,0,0
9,7,10,18,18,44316,1,0,0,0,1,1323,0,0,0,0
9,9,9,1,2,44316,0,0,0,2,2,0,0,0,0,1750
9,9,9,8,11,44316,0,0,0,8,8,0,0,0,0,6332
9,9,9,17,18,44316,0,0,2,0,2,0,0,3153,0,0
9,10,11,7,8,44316,0,0,0,0,0,0,0,0,0,0
9,23,1,1,2,44316,0,0,0,4,4,0,0,0,0,11240
9,23,1,9,10,44316,4,0,0,0,4,9748,0,0,0,0
9,23,1,17,18,44316,0,0,4,0,4,0,0,9444,0,0
9,23,4,9,10,44316,0,0,0,2,2,0,0,0,0,4200
9,VIP25,1,1,2,44316,4,0,0,0,4,6880,0,0,0,0
9,VIP25,1,8,8,44316,1,0,0,0,1,1959,0,0,0,0
9,VIP25,1,8,9,44316,2,0,0,0,2,6136,0,0,0,0
9,VIP25,1,9,9,44316,1,0,0,0,1,1959,0,0,0,0
9,VIP25,1,15,16,44316,0,0,2,0,2,0,0,3335,0,0
9,VIP25,1,15,18,44316,0,0,4,0,4,0,0,6671,0,0
