PC Adult,section_name,row_name,seat,Last Seat,Timestamp,20-Game Plan,10-Game Plan,Pick Plan,tickets_sold,Total Sold,20-Game Plan $,10-Game Plan $,Pick Plan $,Group $,gross_revenue
1,FLR23,AA,7,8,5/4/2021 5:01,14,0,0,0,14,100992,0,0,0,0
1,FLR23,AA,23,23,5/4/2021 5:01,2,0,0,0,2,17266,0,0,0,0
1,FLR23,AA,23,24,5/4/2021 5:01,32,0,0,4,36,142860,0,0,0,11440
1,FLR23,AA,24,24,5/4/2021 5:01,2,0,0,0,2,17266,0,0,0,0
1,FLR24,AA,29,32,5/4/2021 5:01,80,0,0,0,80,369775,0,0,0,0
1,FLR24,AA,37,37,5/4/2021 5:01,1,0,0,0,1,3316,0,0,0,0
1,FLR24,AA,37,38,5/4/2021 5:01,20,0,0,0,20,59765,0,0,0,0
1,FLR24,AA,38,38,5/4/2021 5:01,1,0,0,0,1,3316,0,0,0,0
1,FLR24,AA,43,45,5/4/2021 5:01,3,0,0,0,3,5983,0,0,0,0
1,FLR24,AA,43,46,5/4/2021 5:01,76,0,0,0,76,361797,0,0,0,0
1,FLR24,AA,46,46,5/4/2021 5:01,1,0,0,0,1,1994,0,0,0,0
1,FLR25,AA,51,52,5/4/2021 5:01,40,0,0,0,40,184887,0,0,0,0
2,FLR23,AA,7,7,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
2,FLR23,AA,7,8,5/4/2021 5:01,0,0,0,16,16,0,0,0,0,75280
2,FLR23,AA,8,8,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
2,FLR23,AA,11,12,5/4/2021 5:01,40,0,0,0,40,173066,0,0,0,0
2,FLR23,AA,15,17,5/4/2021 5:01,0,0,0,3,3,0,0,0,0,10350
2,FLR23,AA,15,18,5/4/2021 5:01,0,0,0,4,4,0,0,0,0,5284
2,FLR25,AA,57,57,5/4/2021 5:01,5,0,0,0,5,30919,0,0,0,0
2,FLR25,AA,57,58,5/4/2021 5:01,8,0,0,0,8,58604,0,0,0,0
2,FLR25,AA,57,60,5/4/2021 5:01,44,0,0,0,44,128890,0,0,0,0
2,FLR25,AA,58,58,5/4/2021 5:01,2,0,0,0,2,8199,0,0,0,0
2,FLR25,AA,58,60,5/4/2021 5:01,9,0,0,0,9,68161,0,0,0,0
2,FLR25,AA,59,59,5/4/2021 5:01,1,0,0,0,1,4099,0,0,0,0
2,FLR25,AA,59,60,5/4/2021 5:01,10,0,0,0,10,66803,0,0,0,0
2,FLR25,AA,60,60,5/4/2021 5:01,1,0,0,0,1,4099,0,0,0,0
2,FLR25,AA,65,66,5/4/2021 5:01,24,0,0,0,24,121551,0,0,0,0
2,FLR25,AA,65,68,5/4/2021 5:01,32,0,0,0,32,126672,0,0,0,0
2,FLR25,AA,67,67,5/4/2021 5:01,1,0,0,0,1,3316,0,0,0,0
2,FLR25,AA,67,68,5/4/2021 5:01,22,0,0,0,22,114918,0,0,0,0
2,FLR25,AA,68,68,5/4/2021 5:01,1,0,0,0,1,3316,0,0,0,0
3,FLR23,AA,1,1,5/4/2021 5:01,1,0,0,0,1,4850,0,0,0,0
3,FLR23,AA,1,2,5/4/2021 5:01,38,0,0,0,38,120630,0,0,0,0
3,FLR23,AA,2,2,5/4/2021 5:01,1,0,0,0,1,4850,0,0,0,0
3,FLR25,AA,73,73,5/4/2021 5:01,1,0,0,0,1,2622,0,0,0,0
3,FLR25,AA,73,74,5/4/2021 5:01,38,0,0,0,38,125086,0,0,0,0
3,FLR25,AA,74,74,5/4/2021 5:01,1,0,0,0,1,2622,0,0,0,0
4,FLR17,AA,4,4,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
4,FLR17,AA,5,5,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
4,FLR17,AA,5,6,5/4/2021 5:01,0,0,0,8,8,0,0,0,0,15482
4,FLR17,AA,5,8,5/4/2021 5:01,0,0,0,8,8,0,0,0,0,33680
4,FLR17,AA,6,8,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
4,FLR17,AA,7,8,5/4/2021 5:01,0,0,0,6,6,0,0,0,0,17119
4,FLR17W,AAW,1,1,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
4,FLR17W,AAW,1,2,5/4/2021 5:01,0,0,0,4,4,0,0,0,0,8430
4,FLR17W,AAW,1,3,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
4,FLR17W,AAW,1,4,5/4/2021 5:01,4,0,0,0,4,648,0,0,0,0
4,FLR17W,AAW,2,2,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
4,FLR17W,AAW,3,3,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
4,FLR17W,AAW,3,4,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
4,FLR17W,AAW,4,4,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
4,FLR31,AA,1,1,5/4/2021 5:01,1,0,0,0,1,2622,0,0,0,0
4,FLR31,AA,1,2,5/4/2021 5:01,38,0,0,0,38,125086,0,0,0,0
4,FLR31,AA,2,2,5/4/2021 5:01,1,0,0,0,1,2622,0,0,0,0
4,FLR31,AA,3,4,5/4/2021 5:01,40,0,0,0,40,130329,0,0,0,0
4,FLR31W,AAW,1,2,5/4/2021 5:01,2,0,0,0,2,5947,0,0,0,0
4,FLR31W,AAW,1,4,5/4/2021 5:01,64,0,0,0,64,161222,0,0,0,0
4,FLR31W,AAW,3,4,5/4/2021 5:01,2,0,0,0,2,5947,0,0,0,0
8,6,8,1,2,5/4/2021 5:01,0,0,0,10,10,0,0,0,0,5471
8,6,8,3,3,5/4/2021 5:01,0,0,0,1,1,0,0,0,0,405
8,6,8,3,4,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
8,6,10,6,7,5/4/2021 5:01,0,0,0,8,8,0,0,0,0,4059
8,10,8,3,3,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
8,10,8,3,6,5/4/2021 5:01,0,0,0,8,8,0,0,0,0,11280
8,10,8,4,4,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
8,10,8,4,6,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
8,10,8,5,5,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
8,10,8,6,6,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
8,10,11,7,8,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
8,22,2,1,2,5/4/2021 5:01,20,0,0,0,20,13712,0,0,0,0
8,22,4,1,4,5/4/2021 5:01,4,0,0,0,4,2110,0,0,0,0
8,22,5,1,2,5/4/2021 5:01,38,0,0,0,38,22445,0,0,0,0
8,22,7,4,5,5/4/2021 5:01,0,0,0,4,4,0,0,0,0,1880
8,22,8,1,2,5/4/2021 5:01,2,0,0,0,2,3746,0,0,0,0
8,22,9,2,3,5/4/2021 5:01,0,0,0,2,2,0,0,0,0,1230
8,22,9,2,4,5/4/2021 5:01,0,0,0,3,3,0,0,0,0,1905
8,22,9,2,5,5/4/2021 5:01,16,0,4,12,32,11021,0,1346,0,6814
8,22,9,4,5,5/4/2021 5:01,0,0,0,2,2,0,0,0,0,1230
8,22,9,5,5,5/4/2021 5:01,0,0,0,0,0,0,0,0,0,0
8,23,5,3,3,5/4/2021 5:01,1,0,0,0,1,227,0,0,0,0
8,23,5,3,4,5/4/2021 5:01,38,0,0,0,38,22823,0,0,0,0
8,23,5,4,4,5/4/2021 5:01,1,0,0,0,1,227,0,0,0,0
8,23,5,14,14,5/4/2021 5:01,3,0,0,0,3,1791,0,0,0,0
8,23,5,14,15,5/4/2021 5:01,18,0,0,0,18,15713,0,0,0,0
8,23,5,14,17,5/4/2021 5:01,32,0,0,0,32,7965,0,0,0,0
8,23,5,15,15,5/4/2021 5:01,3,0,0,0,3,1791,0,0,0,0
8,23,5,16,16,5/4/2021 5:01,5,0,0,0,5,2301,0,0,0,0
8,23,5,16,17,5/4/2021 5:01,14,0,0,0,14,14694,0,0,0,0
8,23,5,17,17,5/4/2021 5:01,5,0,0,0,5,2301,0,0,0,0
8,23,7,9,9,5/4/2021 5:01,1,0,0,0,1,527,0,0,0,0
8,23,7,9,10,5/4/2021 5:01,38,0,0,0,38,22223,0,0,0,0
8,23,7,10,10,5/4/2021 5:01,1,0,0,0,1,527,0,0,0,0
8,23,9,3,3,5/4/2021 5:01,5,0,0,0,5,4383,0,0,0,0
