level_0,index,section_name,row_name,seat,center_distance,angle,prediction,normalized,seat_score
7049,1455,126,9,1,141.86,0.7006,104.4343902,-1.182612668,0
7048,588,106,9,8,141.85,0.7006,104.4743902,-1.182270713,5.14E-05
7047,1454,126,8,4,141.28,0.6778,116.2421951,-1.081669213,0.015159111
7046,584,106,8,5,141.27,0.6778,116.2763415,-1.0813773,0.015202949
7045,1453,126,8,3,140.49,0.6838,116.77,-1.077157074,0.015836718
7044,585,106,8,6,140.48,0.6838,116.8068293,-1.076842225,0.015884
7043,1452,126,8,2,139.72,0.6898,117.4378049,-1.071448093,0.01669406
7042,586,106,8,7,139.71,0.6898,117.4765854,-1.071116564,0.016743847
7041,587,106,8,8,138.99,0.6959,118.1207317,-1.065609837,0.017570816
7040,1451,126,8,1,138.98,0.6959,118.1619512,-1.065257456,0.017623735
7039,940,117,1,1,139.87,0.0798,120.4212195,-1.045943253,0.020524231
7038,941,117,1,2,140.18,0.0861,120.9317073,-1.041579156,0.021179606
7037,942,117,1,3,140.51,0.0926,121.4504878,-1.037144166,0.021845628
7036,943,117,1,4,140.87,0.0989,121.8997561,-1.033303427,0.022422408
7035,2309,16WC,19W,12,134.17,0.0393,122.2234146,-1.030536511,0.022837928
7034,2306,16WC,19W,1,134.14,0.0393,122.2580488,-1.030240428,0.022882392
7033,2314,16WC,19W,6,133.85,0.0036,122.2830769,-1.030026465,0.022914523
7032,2315,16WC,19W,7,133.82,0.0036,122.3125641,-1.029774383,0.02295238
7031,944,117,1,5,141.24,0.1052,122.3456098,-1.02949188,0.022994804
7030,945,117,1,6,141.63,0.1116,122.7885366,-1.025705353,0.023563443
7028,2159,16,18,12,128.53,0.0109,122.7919512,-1.025676162,0.023567827
7029,2175,16,18,9,128.53,0.0109,122.7919512,-1.025676162,0.023567827
7026,2139,16,17,10,125.55,0.0037,122.997561,-1.02391843,0.023831793
7027,2155,16,17,9,125.55,0.0037,122.997561,-1.02391843,0.023831793
7025,2316,16WC,19W,8,133.87,0.0108,123.2533333,-1.021731864,0.024160159
7024,2313,16WC,19W,5,133.84,0.0108,123.2835897,-1.021473206,0.024199003
7022,2137,16,16,9,122.6,0.0038,123.9236585,-1.016001337,0.025020737
7023,2121,16,16,10,122.6,0.0038,123.9236585,-1.016001337,0.025020737
7020,2160,16,18,13,128.57,0.0182,124.0168293,-1.015204832,0.025140351
7021,2174,16,18,8,128.57,0.0182,124.0168293,-1.015204832,0.025140351
7019,2312,16WC,19W,4,133.91,0.0179,124.1912821,-1.013713457,0.025364318
7018,2317,16WC,19W,9,133.88,0.0179,124.2220513,-1.013450415,0.02540382
7017,2154,16,17,8,125.58,0.0111,124.3897561,-1.012016727,0.025619123
7016,2140,16,17,11,125.57,0.0111,124.394878,-1.01197294,0.025625698
7015,2119,16,15,9,119.66,0.0039,124.475122,-1.011286945,0.025728717
7014,2103,16,15,10,119.65,0.0039,124.4768293,-1.011272349,0.025730909
7013,2101,16,14,9,116.72,0.0039,124.7990244,-1.008517943,0.02614455
7012,2085,16,14,10,116.72,0.0039,124.7990244,-1.008517943,0.02614455
7011,1450,126,7,8,141.85,0.6493,124.9165854,-1.007512929,0.026295477
7010,576,106,7,1,141.84,0.6493,124.9441463,-1.007277314,0.026330861
7009,2307,16WC,19W,10,133.98,0.025,125.0961538,-1.00597782,0.026526011
7007,2067,16,13,10,113.78,0.004,125.1258537,-1.00572392,0.02656414
7008,2083,16,13,9,113.78,0.004,125.1258537,-1.00572392,0.02656414
7006,2311,16WC,19W,3,133.95,0.025,125.1287179,-1.005699434,0.026567818
7005,2173,16,18,7,128.64,0.0254,125.1853659,-1.005215158,0.026640544
7004,2161,16,18,14,128.62,0.0254,125.2002439,-1.005087968,0.026659644
