level_0,index,section_name,row_name,seat,center_distance,angle,prediction,normalized,seat_score
0,9549,31,20,3,142.1,0.1882,205.0285366,5.772964763,1
1,9548,31,20,2,142.62,0.1946,201.7673171,5.611599856,0.977920981
2,9547,31,20,1,143.14,0.2009,198.5417073,5.451996917,0.956083045
3,1018,121,5,13,142.01,0.5664,169.022439,3.991385645,0.756232499
4,356,111,5,4,142.2,0.5611,168.6312195,3.972028132,0.753583876
5,346,111,4,7,142.21,0.5342,168.4153659,3.961347708,0.752122509
6,7538,225,1,1,143.83,0.9696,167.0629268,3.894429122,0.742966263
7,370,111,6,2,142.8,0.5804,167.0141463,3.892015467,0.742636011
8,7074,223,1,26,143.85,0.9696,167.0039024,3.8915086,0.742566658
9,1017,121,5,12,142.97,0.5598,166.8736585,3.885064141,0.741684884
10,1013,121,4,8,142.88,0.5332,166.8404878,3.883422855,0.741460313
11,1034,121,6,16,142.88,0.5853,166.71,3.876966328,0.740576888
12,357,111,5,5,143.21,0.5542,166.3141463,3.857379518,0.73789689
13,111,104,4,2,145.91,0.3283,166.0960976,3.84659048,0.736420662
14,347,111,4,8,143.15,0.5271,166.0731707,3.845456062,0.736265444
15,104,104,4,1,146.24,0.322,166.0568293,3.844647487,0.736154809
16,112,104,4,3,145.58,0.335,166.0368293,3.843657889,0.736019406
17,113,104,4,4,145.28,0.3411,165.9546341,3.83959088,0.73546293
18,114,104,4,5,144.99,0.3481,165.6529268,3.824662424,0.73342032
19,115,104,4,6,144.73,0.3543,165.3756098,3.810940795,0.731542835
20,1008,121,4,3,143.1,0.4992,165.2609756,3.805268706,0.730766742
21,1009,121,4,4,143.21,0.5057,165.2585366,3.805148023,0.73075023
22,1010,121,4,5,143.33,0.513,165.2360976,3.804037742,0.730598314
23,1007,121,4,2,143.01,0.4919,165.1558537,3.800067279,0.730055049
24,1011,121,4,6,143.48,0.5194,165.0836585,3.79649507,0.729566275
25,341,111,4,11,143.31,0.5066,165.0563415,3.795143423,0.729381334
